Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
Jan,3,Wednesday,Toyota,Urban,Wednesday,Jan,4,Male,Married,72,Third Party,Sedan,27360,0,16,400,1,46,51,0,15,77,No,No,External,0,-1,1,1994,Collision
Feb,2,Wednesday,Pontiac,Urban,Thursday,Feb,2,Female,Married,29,Third Party,Sedan,7762,0,8,400,3,52,60,4,5,35,No,No,External,0,-1,1,1994,All Perils
Feb,2,Thursday,Pontiac,Urban,Monday,Feb,3,Male,Single,32,Third Party,Sedan,35646,0,9,400,4,45,42,0,6,33,No,No,Internal,0,-1,1,1994,Collision
Nov,4,Thursday,Mazda,Urban,Friday,Nov,4,Male,Married,37,Policy Holder,Sport,37307,0,13,400,3,54,55,2,5,37,No,No,External,7,-1,1,1994,Liability
Apr,3,Thursday,Chevrolet,Urban,Thursday,May,1,Female,Married,37,Policy Holder,Sport,95956,0,10,400,1,37,45,4,6,40,No,No,External,3,-1,1,1994,Liability
Apr,3,Friday,Pontiac,Urban,Tuesday,Apr,3,Male,Married,59,Policy Holder,Sedan,28155,0,9,400,4,40,56,7,14,58,No,No,External,3,-1,1,1994,Collision
May,4,Friday,Pontiac,Urban,Friday,May,4,Male,Married,49,Policy Holder,Sport,38141,0,14,400,2,60,40,7,9,42,No,No,External,0,-1,1,1994,Liability
Jun,4,Wednesday,Pontiac,Urban,Friday,Jun,4,Male,Married,27,Policy Holder,Sport,22545,0,4,500,3,54,45,2,6,32,No,No,External,5,3,1,1994,Liability
Jul,3,Sunday,Honda,Rural,Wednesday,Jan,4,Male,Married,21,Policy Holder,Sport,81134,1,4,400,4,53,44,0,4,26,No,No,External,5,-1,1,1994,Collision
Jul,4,Saturday,Honda,Urban,Wednesday,Aug,2,Male,Married,50,Policy Holder,Sedan,20858,1,13,400,1,39,55,0,12,47,No,No,External,4,-1,1,1994,Collision
Jun,4,Tuesday,Pontiac,Urban,Tuesday,Jun,4,Male,Single,45,Policy Holder,Sedan,36213,0,8,400,1,58,47,1,7,38,No,No,External,2,-1,1,1994,Collision
Dec,3,Monday,Mazda,Urban,Wednesday,Dec,3,Male,Married,49,Third Party,Sedan,25124,0,7,400,4,39,45,0,8,48,No,No,External,5,-1,1,1994,All Perils
Jun,4,Friday,Honda,Urban,Thursday,Jun,5,Male,Single,30,Policy Holder,Sedan,20720,0,5,400,4,47,58,3,6,34,No,No,External,0,-1,1,1994,All Perils
Nov,2,Friday,Accura,Urban,Monday,Nov,2,Male,Single,37,Policy Holder,Sedan,81620,0,11,400,3,49,46,3,7,36,No,No,External,0,-1,1,1994,Collision
May,1,Monday,Honda,Rural,Wednesday,May,4,Male,Single,0,Policy Holder,Sport,71798,0,15,400,4,31,45,0,1,17,No,No,External,0,-1,1,1994,Liability
May,1,Wednesday,Chevrolet,Urban,Monday,May,2,Female,Single,27,Policy Holder,Sedan,23963,0,4,400,4,54,43,0,6,32,No,No,External,2,-1,1,1994,Collision
Nov,1,Monday,Toyota,Urban,Monday,Nov,3,Male,Single,30,Policy Holder,Sedan,36488,0,5,400,4,49,57,0,5,31,No,No,External,0,-1,1,1994,All Perils
Sep,2,Tuesday,Pontiac,Urban,Friday,Jan,4,Male,Married,49,Policy Holder,Utility,53154,0,6,400,4,37,31,0,14,43,No,No,External,0,-1,1,1994,Collision
Nov,4,Sunday,Honda,Urban,Friday,Jan,3,Male,Single,0,Third Party,Sedan,82364,0,3,400,2,57,43,2,0,16,No,No,External,0,-1,1,1994,All Perils
Feb,5,Monday,Toyota,Urban,Tuesday,Mar,1,Male,Married,26,Policy Holder,Sport,21441,0,13,400,3,41,35,2,7,34,No,No,External,6,4,2,1994,Liability
Dec,1,Friday,Pontiac,Urban,Tuesday,Dec,2,Male,Single,48,Policy Holder,Sedan,24674,0,1,400,1,37,43,0,7,47,No,No,External,0,-1,1,1994,Collision
Dec,4,Friday,Mazda,Urban,Monday,Jan,2,Male,Single,31,Policy Holder,Sedan,24626,0,6,400,3,46,43,0,7,35,No,No,External,0,-1,1,1994,All Perils
Mar,3,Friday,Mercury,Urban,Friday,Mar,3,Male,Single,40,Third Party,Sedan,72183,0,16,400,2,52,54,1,7,37,No,No,External,8,-1,1,1994,Collision
Aug,4,Thursday,Mazda,Urban,Monday,Aug,5,Male,Married,65,Policy Holder,Sport,31674,0,12,400,1,37,39,4,10,55,No,No,External,9,-1,1,1994,Liability
Jan,1,Sunday,Toyota,Urban,Tuesday,Jan,1,Male,Married,64,Policy Holder,Sedan,25255,0,5,400,1,37,40,1,12,57,No,No,External,0,-1,1,1994,Collision
Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Male,Married,55,Policy Holder,Sport,21443,0,12,400,2,52,50,3,7,42,No,No,External,6,-1,1,1994,Liability
Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Male,Single,44,Policy Holder,Sedan,20941,0,16,400,1,48,55,4,7,36,No,No,External,5,-1,1,1994,Collision
Jan,1,Tuesday,Mazda,Urban,Thursday,Jan,1,Male,Married,27,Policy Holder,Sedan,20286,0,9,400,3,49,46,1,6,32,No,No,External,2,-1,1,1994,Collision
Sep,4,Thursday,Chevrolet,Urban,Monday,Jan,5,Female,Single,28,Third Party,Sedan,26039,0,5,400,3,25,60,1,5,35,No,No,External,0,-1,1,1994,Collision
Jan,1,Monday,Honda,Urban,Tuesday,Jan,1,Male,Married,47,Third Party,Sedan,24711,0,7,400,2,57,58,1,13,46,No,No,External,8,-1,1,1994,Collision
Apr,5,Saturday,Mazda,Urban,Tuesday,May,1,Male,Married,60,Third Party,Sedan,77588,0,12,400,3,53,53,7,7,62,No,No,External,7,-1,1,1994,Collision
Aug,1,Saturday,Ford,Urban,Wednesday,Aug,4,Male,Married,33,Third Party,Sedan,38467,0,9,400,4,36,58,10,6,34,No,No,External,0,-1,1,1994,Collision
Oct,4,Tuesday,Chevrolet,Urban,Monday,Jan,1,Male,Married,27,Third Party,Sedan,28647,0,1,400,3,36,33,0,6,33,No,No,External,0,-1,1,1994,All Perils
Feb,2,Friday,Honda,Urban,Tuesday,Feb,3,Female,Married,47,Third Party,Sport,81518,0,12,400,3,39,38,0,11,41,No,No,External,0,-1,1,1994,Collision
Feb,2,Friday,Jaguar,Rural,Tuesday,Feb,3,Female,Single,29,Policy Holder,Sport,38446,0,16,400,1,53,48,4,5,33,No,No,External,3,-1,1,1994,Liability
Feb,4,Saturday,Toyota,Urban,Friday,Mar,1,Female,Married,33,Third Party,Sedan,36621,0,10,400,1,38,50,4,7,31,No,No,External,8,-1,1,1994,Collision
Jan,3,Wednesday,Pontiac,Urban,Wednesday,Jan,3,Male,Married,38,Policy Holder,Sport,25708,0,13,400,4,44,46,2,6,38,No,No,External,0,-1,1,1994,Liability
Jan,3,Thursday,Mazda,Urban,Friday,Jan,4,Male,Single,37,Third Party,Sport,23553,0,6,400,2,55,40,1,7,39,No,No,External,0,-1,1,1994,Liability
Dec,2,Friday,Chevrolet,Urban,Thursday,Apr,3,Male,Married,36,Third Party,Sedan,87200,0,13,400,4,44,41,0,7,40,No,No,External,0,-1,4,1994,All Perils
Nov,5,Tuesday,Toyota,Urban,Friday,Feb,1,Female,Married,44,Policy Holder,Sport,26781,0,9,400,4,37,43,0,6,38,No,No,External,2,-1,1,1994,Liability
Dec,1,Wednesday,Honda,Urban,Monday,Jan,1,Male,Single,0,Policy Holder,Sport,74495,0,6,400,2,57,39,7,1,17,No,No,External,0,6,2,1994,Liability
Dec,2,Tuesday,Chevrolet,Rural,Tuesday,Mar,1,Male,Married,27,Policy Holder,Utility,73210,0,4,400,4,36,42,1,6,33,No,No,External,9,-1,1,1994,Liability
May,4,Tuesday,Toyota,Urban,Wednesday,May,4,Male,Single,27,Policy Holder,Sedan,25263,0,14,400,3,54,40,1,6,32,No,No,External,8,-1,1,1994,Collision
May,4,Sunday,Mazda,Urban,Wednesday,May,4,Male,Single,39,Third Party,Sedan,26981,0,1,400,2,33,34,4,4,40,No,No,External,6,-1,1,1994,All Perils
Oct,5,Saturday,Pontiac,Urban,Monday,Oct,5,Male,Married,74,Third Party,Sedan,36445,0,13,400,4,50,35,0,7,75,No,No,External,3,-1,1,1994,All Perils
Oct,4,Sunday,Honda,Urban,Monday,Oct,4,Male,Single,23,Policy Holder,Sport,26979,0,8,400,2,54,49,4,4,28,No,No,External,0,-1,1,1994,Liability
Oct,4,Sunday,Honda,Urban,Tuesday,Oct,4,Female,Single,25,Third Party,Sport,93237,0,2,400,1,53,48,0,6,27,No,No,External,6,-1,1,1994,Collision
Jan,2,Wednesday,Pontiac,Urban,Wednesday,Jan,2,Male,Single,38,Policy Holder,Sport,26937,0,13,400,2,35,37,10,7,36,No,No,External,5,1,1,1994,Liability
Jan,2,Thursday,Honda,Urban,Monday,Jan,4,Male,Married,41,Policy Holder,Sedan,34911,0,16,400,1,36,59,2,7,39,No,No,External,0,-1,1,1994,All Perils
Aug,4,Saturday,Pontiac,Urban,Monday,Aug,5,Male,Married,38,Policy Holder,Sedan,24874,0,13,700,3,39,52,3,7,37,No,No,External,8,-1,1,1994,Collision
Nov,2,Thursday,Honda,Urban,Friday,Jan,3,Male,Single,34,Policy Holder,Sport,96853,1,7,400,3,54,59,0,7,34,No,No,External,4,-1,1,1994,Collision
May,2,Tuesday,Honda,Urban,Thursday,May,2,Male,Married,61,Third Party,Sedan,34304,0,15,400,4,45,55,0,12,59,No,No,External,6,-1,1,1994,Collision
Nov,2,Friday,Toyota,Urban,Tuesday,Jan,1,Male,Married,38,Policy Holder,Sedan,20944,1,7,400,2,49,35,1,7,39,No,No,External,0,-1,1,1994,Collision
Jan,3,Thursday,Toyota,Urban,Monday,Jan,4,Male,Single,40,Policy Holder,Sedan,12414,0,4,400,4,38,48,1,7,38,No,No,External,0,-1,1,1994,All Perils
Nov,3,Monday,Pontiac,Urban,Wednesday,Jan,4,Male,Married,41,Third Party,Sedan,20805,0,12,400,4,52,44,3,7,36,No,No,External,0,-1,1,1994,All Perils
Jan,4,Friday,Pontiac,Urban,Monday,Jan,5,Male,Married,36,Policy Holder,Sedan,27177,0,10,400,1,35,39,1,7,38,No,No,External,0,-1,1,1994,All Perils
Nov,3,Tuesday,Chevrolet,Urban,Wednesday,Jan,2,Male,Married,31,Policy Holder,Utility,91064,1,2,400,1,49,45,9,7,32,No,No,External,6,-1,1,1994,All Perils
Jan,5,Saturday,Pontiac,Urban,Monday,Jan,5,Female,Married,35,Third Party,Sedan,28178,0,10,400,4,60,53,1,6,32,No,No,External,0,-1,1,1994,All Perils
Jan,4,Friday,Ford,Urban,Monday,Feb,1,Female,Married,37,Policy Holder,Sedan,79035,0,14,500,2,59,53,2,6,39,Yes,No,External,3,-1,1,1994,All Perils
Jan,1,Thursday,Mazda,Urban,Tuesday,Jan,2,Male,Married,55,Policy Holder,Sedan,27510,0,14,400,3,44,37,0,11,48,No,No,External,8,-1,1,1994,All Perils
Jan,1,Tuesday,Pontiac,Urban,Thursday,Jan,1,Male,Single,31,Third Party,Sedan,27136,0,12,400,4,35,55,4,7,32,No,No,External,2,-1,1,1994,All Perils
Dec,3,Friday,Dodge,Urban,Saturday,Dec,3,Male,Married,28,Policy Holder,Sport,83296,0,5,400,1,55,39,0,7,32,No,No,External,2,4,2,1994,Liability
Aug,1,Monday,Mazda,Urban,Thursday,Aug,1,Male,Married,28,Policy Holder,Sedan,20939,0,11,400,2,57,39,3,7,34,No,No,External,0,-1,1,1994,Collision
Nov,4,Sunday,Pontiac,Urban,Thursday,Apr,2,Male,Married,44,Third Party,Sedan,22358,0,11,400,1,53,33,0,7,40,No,No,External,0,-1,1,1994,All Perils
Jun,1,Thursday,Chevrolet,Urban,Thursday,Oct,4,Male,Married,47,Policy Holder,Sedan,21976,0,1,400,1,39,53,1,14,50,No,No,External,0,-1,1,1994,All Perils
Mar,1,Thursday,Honda,Urban,Friday,Mar,1,Male,Married,40,Policy Holder,Sport,21959,0,16,400,4,40,37,0,6,37,No,No,External,0,-1,1,1994,Liability
May,2,Tuesday,Toyota,Urban,Friday,Sep,1,Male,Single,23,Policy Holder,Sedan,26910,0,4,400,2,60,54,4,5,27,No,No,External,0,-1,1,1994,Collision
May,2,Monday,Pontiac,Urban,Thursday,May,2,Male,Single,31,Policy Holder,Sedan,22492,0,6,400,3,31,37,2,6,32,No,No,External,0,-1,1,1994,All Perils
Nov,4,Thursday,Honda,Urban,Thursday,Dec,5,Male,Married,35,Third Party,Sedan,27617,0,9,400,1,32,34,0,6,31,No,No,External,0,-1,1,1994,All Perils
Nov,4,Thursday,Accura,Rural,Tuesday,Jan,2,Male,Married,56,Policy Holder,Utility,97788,1,10,400,2,55,35,0,15,58,No,No,External,0,-1,1,1994,All Perils
Dec,4,Monday,Chevrolet,Urban,Wednesday,Jan,1,Male,Married,50,Third Party,Sedan,25438,0,2,400,3,54,33,1,8,50,No,No,External,7,-1,1,1994,Collision
Dec,2,Tuesday,Honda,Urban,Wednesday,Jan,2,Male,Single,16,Third Party,Sport,96280,0,2,400,1,43,31,4,4,18,No,No,External,5,-1,1,1994,Collision
Nov,5,Tuesday,Pontiac,Urban,Tuesday,Nov,5,Male,Married,32,Third Party,Sedan,36245,0,12,400,2,42,55,1,7,32,No,Yes,External,8,-1,1,1994,Collision
Aug,2,Monday,Pontiac,Urban,Tuesday,Aug,5,Male,Single,28,Policy Holder,Sport,22650,0,4,400,3,51,60,4,6,34,No,No,External,5,-1,1,1994,Liability
Nov,5,Monday,Mazda,Urban,Wednesday,Dec,1,Male,Single,68,Policy Holder,Sedan,28748,1,9,400,3,57,31,4,5,73,No,No,External,0,-1,1,1994,All Perils
Dec,1,Friday,Honda,Rural,Friday,Dec,3,Male,Single,0,Policy Holder,Sedan,79652,1,7,400,3,32,43,0,0,16,No,No,External,0,-1,1,1994,All Perils
Feb,1,Friday,Honda,Rural,Friday,Mar,3,Male,Single,0,Policy Holder,Sedan,69783,0,8,400,3,52,52,0,0,17,No,No,External,0,-1,1,1994,All Perils
Oct,2,Wednesday,Honda,Rural,Monday,Oct,3,Female,Married,18,Third Party,Sport,91392,0,12,400,4,50,41,0,2,25,No,No,External,2,-1,1,1994,Collision
Jun,3,Monday,Pontiac,Urban,Monday,Jun,3,Male,Single,30,Policy Holder,Sedan,96825,0,2,400,1,40,35,9,6,35,No,No,External,2,-1,1,1994,Collision
Apr,4,Tuesday,Honda,Urban,Tuesday,Apr,4,Male,Married,51,Policy Holder,Sedan,21232,0,1,400,4,59,43,7,14,41,No,No,External,0,-1,4,1994,Collision
Feb,2,Sunday,Toyota,Urban,Monday,Feb,2,Male,Single,22,Third Party,Sedan,37105,0,6,400,3,31,59,0,6,29,No,No,External,3,-1,1,1994,All Perils
Feb,2,Saturday,Pontiac,Urban,Monday,Feb,2,Female,Married,26,Policy Holder,Sport,25867,0,16,400,4,51,32,3,7,35,No,No,External,7,-1,1,1994,Liability
Jan,4,Saturday,Dodge,Urban,Monday,Mar,1,Male,Married,53,Policy Holder,Sedan,34864,0,15,400,2,39,56,0,9,43,Yes,No,External,0,5,2,1994,Collision
Jan,4,Sunday,Mazda,Urban,Tuesday,Jan,5,Male,Married,38,Policy Holder,Sport,34443,0,13,400,3,55,47,3,7,37,No,No,External,6,-1,1,1994,Liability
Jan,4,Sunday,Chevrolet,Rural,Monday,Jan,4,Male,Married,27,Third Party,Sport,37882,0,9,400,3,59,44,9,6,33,No,Yes,External,0,-1,1,1994,Liability
Nov,4,Monday,Honda,Urban,Tuesday,Nov,4,Male,Single,29,Policy Holder,Sedan,23100,0,14,400,3,44,48,2,7,32,No,No,External,5,-1,1,1994,Collision
Jul,2,Friday,Pontiac,Urban,Friday,Jul,2,Male,Single,32,Policy Holder,Sedan,22492,0,10,400,1,60,53,8,5,31,No,No,External,10,-1,1,1994,Collision
Apr,4,Thursday,Honda,Urban,Friday,Apr,4,Male,Single,18,Third Party,Sedan,24391,0,14,400,3,49,58,0,3,22,No,No,External,9,-1,1,1994,Collision
Oct,3,Thursday,Pontiac,Urban,Thursday,Oct,4,Male,Married,60,Third Party,Sedan,28888,0,6,400,4,60,45,2,11,61,No,No,External,1,-1,1,1994,Collision
Oct,3,Friday,Ford,Urban,Friday,Oct,3,Male,Married,53,Policy Holder,Sedan,92236,0,12,400,3,60,36,0,15,50,No,No,External,10,-1,1,1994,Collision
Apr,1,Tuesday,Honda,Urban,Friday,Apr,2,Male,Single,29,Policy Holder,Sedan,26542,0,16,400,4,50,54,1,6,31,No,No,External,2,-1,1,1994,Collision
Mar,2,Sunday,Pontiac,Urban,Monday,Mar,2,Male,Married,29,Policy Holder,Sedan,24366,0,6,400,2,47,38,1,7,35,No,No,External,9,-1,1,1994,Collision
Mar,2,Monday,Toyota,Urban,Tuesday,Mar,4,Male,Married,41,Third Party,Sedan,28221,0,9,400,4,50,48,1,7,39,No,No,External,7,-1,1,1994,Collision
Feb,4,Monday,Toyota,Urban,Wednesday,Mar,1,Male,Married,29,Policy Holder,Sedan,22920,0,9,400,4,32,44,0,7,33,No,No,External,7,-1,1,1994,All Perils
Dec,4,Wednesday,Mercury,Urban,Thursday,Jan,1,Male,Married,42,Policy Holder,Sedan,26505,0,2,400,2,59,59,9,7,40,No,No,External,0,-1,1,1994,All Perils
Oct,5,Friday,Toyota,Urban,Friday,Feb,1,Male,Married,34,Policy Holder,Sedan,16636,0,9,400,2,38,41,0,7,34,No,No,External,2,-1,1,1994,All Perils
Jul,3,Monday,Honda,Urban,Tuesday,Jul,3,Male,Married,51,Policy Holder,Sport,94746,0,11,400,4,51,58,1,9,43,No,No,External,3,-1,1,1994,Collision
Jun,4,Monday,Pontiac,Urban,Tuesday,Jul,1,Male,Married,32,Policy Holder,Sedan,25629,0,3,400,4,42,59,1,6,31,No,No,External,3,-1,1,1994,All Perils
Feb,5,Monday,Chevrolet,Urban,Friday,Mar,1,Male,Married,52,Policy Holder,Sport,26675,0,10,400,4,31,35,0,8,50,No,No,Internal,4,-1,8,1994,Liability
Feb,3,Thursday,Toyota,Urban,Friday,Feb,3,Male,Married,61,Policy Holder,Sedan,21622,0,8,400,2,46,43,4,15,56,No,No,External,0,-1,1,1994,Collision
Feb,3,Wednesday,Toyota,Rural,Friday,Feb,4,Male,Single,25,Third Party,Sport,24767,0,1,400,4,56,58,4,5,29,No,No,External,4,-1,1,1994,Liability
Nov,1,Thursday,Mazda,Urban,Friday,Nov,1,Male,Married,41,Policy Holder,Sedan,33603,0,6,400,1,49,33,0,7,40,No,No,External,0,-1,1,1994,All Perils
Sep,3,Saturday,Mazda,Urban,Tuesday,Sep,3,Male,Single,33,Third Party,Sport,34145,0,10,400,1,34,52,0,6,33,No,No,External,0,-1,1,1994,Liability
Dec,1,Monday,Toyota,Rural,Tuesday,May,3,Male,Married,39,Policy Holder,Sedan,36835,1,1,400,3,59,38,0,13,38,No,No,External,9,0,2,1994,All Perils
